DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,SOIL,MIN,MAX,RANGE,MEAN,LU_DES_TH,LU_DES_EN,BHUMIBOL,B_Drainage_water,B-Accumulated_drainage,SIRIKIT,S_Drainage_water,S-Accumulated_drainage,KHWAENOI,K_Drainage_water,K-Accumulated_drainage,PASAK,P_Drainage_water,P-Accumulated_drainage,RAINFALL,FLOOD
28/6/2012,543769.9749,1641602.834,Suphanburi,Dan Chang,Clay Loam,4,54,379,325,238.352852,ไม้ผล,Orchard,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,543809.8108,1643449.147,Suphanburi,Dan Chang,Sandy Clay Loam,6,218,275,57,245.078847,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,544689.8586,1652680.882,Suphanburi,Dan Chang,Sandy Loam,10,250,351,101,318.660428,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,545067.9884,1650773.051,Suphanburi,Dan Chang,Silty Clay Loam,5,85,386,301,289.855751,พืชไร่/ไม้ผล,Field crop/Orchard,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,545259.787,1635104.659,Suphanburi,Dan Chang,Sandy Loam,10,163,191,28,172.935409,พืชสวน,Horticulture,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,545414.3878,1645670.642,Suphanburi,Dan Chang,Silty Clay Loam,5,76,400,324,247.082494,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,546482.8468,1638514.363,Suphanburi,Dan Chang,Sandy Clay Loam,6,159,285,126,206.7214,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,546838.3842,1647005.811,Suphanburi,Dan Chang,Water,0,47,1092,1045,387.958479,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,547815.5028,1629242.763,Suphanburi,Dan Chang,Sandy Loam,10,134,149,15,140.724078,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,548236.2694,1630722.155,Suphanburi,Dan Chang,Sandy Clay Loam,6,133,178,45,145.093313,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,549635.9243,1636971.24,Suphanburi,Dan Chang,Clay Loam,4,183,321,138,232.334804,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,550479.7251,1632355.069,Suphanburi,Dan Chang,Silty Clay Loam,5,135,197,62,157.489804,ไม้ผล,Orchard,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,550991.4496,1631250.375,Suphanburi,Dan Chang,Silty Clay Loam,5,162,192,30,178.111111,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,551428.9489,1635115.828,Suphanburi,Dan Chang,Sandy Loam,10,73,221,148,164.055628,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,554310.0927,1638977.673,Suphanburi,Dan Chang,Sandy Loam,10,101,198,97,154.914015,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,554944.842,1628060.64,Suphanburi,Dan Chang,Sandy Loam,10,67,190,123,153.06945,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,555101.1464,1635841.481,Suphanburi,Dan Chang,Clay Loam,4,103,254,151,182.339132,พืชสวน,Horticulture,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,555174.3435,1655039.14,Suphanburi,Dan Chang,Clay Loam,4,146,197,51,165.35696,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,555258.4541,1656389.431,Suphanburi,Dan Chang,Clay Loam,4,188,213,25,196.286207,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,555983.5631,1635286.812,Suphanburi,Dan Chang,Sandy Loam,10,98,247,149,157.585816,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,556012.4359,1643291.85,Suphanburi,Dan Chang,Sandy Loam,10,31,323,292,138.164704,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,556333.9012,1652658.231,Suphanburi,Dan Chang,Clay Loam,4,96,216,120,140.817002,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,556340.2333,1626503.644,Suphanburi,Dan Chang,Sandy Loam,10,174,197,23,186.644851,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,556584.3271,1633345.907,Suphanburi,Dan Chang,Silty Clay Loam,5,75,224,149,149.68129,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,557363.3023,1642853.755,Suphanburi,Dan Chang,Sandy Loam,10,37,376,339,168.16769,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,558260.8027,1640170.724,Suphanburi,Dan Chang,Silty Clay Loam,5,111,149,38,135.287234,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,558692.4513,1644661.426,Suphanburi,Dan Chang,Clay Loam,4,66,280,214,179.441235,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,559947.8545,1646653.217,Suphanburi,Dan Chang,Sandy Loam,10,83,257,174,145.578827,ไม้ผล,Orchard,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,559998.8979,1633824.702,Suphanburi,Dan Chang,Clay Loam,4,112,236,124,153.410687,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,560711.1427,1634763.418,Suphanburi,Dan Chang,Sandy Loam,10,82,179,97,108.329825,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,560812.1274,1641303.041,Suphanburi,Dan Chang,Sandy Loam,10,51,196,145,90.608085,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
