DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,LEVEL
14/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
14/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
14/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
14/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
14/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
14/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
15/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
15/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
15/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
15/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
15/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
15/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
16/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
16/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
16/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
16/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
16/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
16/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
17/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
17/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
17/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
17/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
17/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
17/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
18/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
18/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
18/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
18/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
18/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
18/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
19/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
19/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
19/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
19/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
19/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
19/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
20/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
20/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
20/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
20/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
20/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
20/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
21/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
21/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
21/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
21/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
21/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
21/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
22/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
22/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
22/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
22/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
22/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
22/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
23/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
23/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
23/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
23/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
23/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
23/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
24/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
24/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
24/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
24/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
24/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
24/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
25/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
25/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
25/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
25/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
25/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
25/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
26/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
26/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
26/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
26/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
26/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
26/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
