PROVINCE,AMPHOE,TEXTURE,SOIL,1/9/2012,2/9/2012,3/9/2012,4/9/2012,5/9/2012,6/9/2012,7/9/2012,SUM,FLOOD
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินร่วนปนทรายแป้ง,11,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,2.5,4,18,2,27,2
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,0,0,0,7.5,0.5,31,2.5,41.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0,12.5,3,27.5,1.5,44.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียว,3,0,0,0,12.5,3,27.5,1.5,44.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนปนทรายแป้ง,11,0,0,0,12.5,3,27.5,1.5,44.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียวปนทรายแป้ง,8,0,0,0,12.5,3,27.5,1.5,44.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,น้ำ,0,0,0,0,12.5,3,27.5,1.5,44.5,3
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,0,0,0,0,0,0,0,0,1
