DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE
16/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
16/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
16/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
17/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
17/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
17/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
17/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
17/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
18/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
18/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
18/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
18/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
18/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
19/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
19/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
19/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
19/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
19/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
20/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
20/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
20/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
20/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
20/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
21/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
21/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
21/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
21/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
21/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
22/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
22/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
22/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
22/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
22/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
23/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
23/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
23/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
23/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
23/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
24/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
24/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
24/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
24/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
24/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
25/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
25/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
25/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
25/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
25/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
26/1/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
26/1/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
26/1/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
26/1/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
26/1/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
