DATE,FID,
15/02/2022,2135,
15/02/2022,975,
15/02/2022,2134,
15/02/2022,974,
15/02/2022,2150,
15/02/2022,1008,
15/02/2022,2151,
15/02/2022,1006,
15/02/2022,2153,
15/02/2022,2152,
15/02/2022,1007,
15/02/2022,2018,
15/02/2022,2022,
15/02/2022,851,
15/02/2022,869,
15/02/2022,2025,
15/02/2022,855,
15/02/2022,870,
15/02/2022,2028,
15/02/2022,860,
15/02/2022,2017,
15/02/2022,859,
15/02/2022,2023,
15/02/2022,2024,
15/02/2022,862,
15/02/2022,863,
15/02/2022,2027,
15/02/2022,848,
15/02/2022,2026,
15/02/2022,1009,
15/02/2022,1011,
15/02/2022,1010,
15/02/2022,2154,
15/02/2022,856,
15/02/2022,2019,
15/02/2022,849,
15/02/2022,2016,
15/02/2022,2015,
15/02/2022,2011,
15/02/2022,2155,
15/02/2022,1013,
15/02/2022,1012,
15/02/2022,2157,
15/02/2022,2156,
15/02/2022,1015,
15/02/2022,1014,
15/02/2022,1033,
15/02/2022,1044,
15/02/2022,2185,
15/02/2022,1039,
15/02/2022,1035,
15/02/2022,1027,
15/02/2022,1026,
15/02/2022,1036,
15/02/2022,2173,
15/02/2022,1031,
15/02/2022,2172,
15/02/2022,1042,
15/02/2022,2178,
15/02/2022,2167,
15/02/2022,853,
15/02/2022,2183,
15/02/2022,1030,
15/02/2022,2168,
15/02/2022,1022,
15/02/2022,1028,
15/02/2022,2186,
15/02/2022,2166,
15/02/2022,2187,
15/02/2022,1041,
15/02/2022,1021,
15/02/2022,1043,
15/02/2022,2029,
15/02/2022,2181,
15/02/2022,2169,
15/02/2022,2159,
15/02/2022,2163,
15/02/2022,2158,
15/02/2022,2180,
15/02/2022,1032,
15/02/2022,1020,
15/02/2022,1024,
15/02/2022,852,
15/02/2022,2164,
15/02/2022,864,
15/02/2022,1025,
15/02/2022,2175,
15/02/2022,2184,
15/02/2022,1023,
15/02/2022,865,
15/02/2022,2174,
15/02/2022,1037,
15/02/2022,1034,
15/02/2022,1016,
15/02/2022,2012,
15/02/2022,2170,
15/02/2022,2182,
15/02/2022,2179,
15/02/2022,2165,
15/02/2022,1038,
15/02/2022,2176,
15/02/2022,2171,
15/02/2022,1040,
15/02/2022,1017,
15/02/2022,1029,
15/02/2022,857,
15/02/2022,850,
15/02/2022,2013,
15/02/2022,2009,
15/02/2022,2020,
15/02/2022,2162,
15/02/2022,2160,
15/02/2022,2161,
15/02/2022,1018,
15/02/2022,1019,
15/02/2022,2177,
15/02/2022,861,
15/02/2022,1123,
15/02/2022,1161,
15/02/2022,1124,
15/02/2022,1145,
15/02/2022,2298,
15/02/2022,2297,
15/02/2022,2260,
15/02/2022,2300,
15/02/2022,1174,
15/02/2022,2273,
15/02/2022,1122,
15/02/2022,1160,
15/02/2022,1150,
15/02/2022,2270,
15/02/2022,2295,
15/02/2022,1152,
15/02/2022,2190,
15/02/2022,1120,
15/02/2022,1045,
15/02/2022,2308,
15/02/2022,2194,
15/02/2022,1159,
15/02/2022,1144,
15/02/2022,2293,
15/02/2022,1149,
15/02/2022,1052,
15/02/2022,2286,
15/02/2022,1056,
15/02/2022,1121,
15/02/2022,1158,
15/02/2022,1054,
15/02/2022,2272,
15/02/2022,1082,
15/02/2022,2285,
15/02/2022,2292,
15/02/2022,2296,
15/02/2022,2250,
15/02/2022,1094,
15/02/2022,1119,
15/02/2022,2299,
15/02/2022,2284,
15/02/2022,2191,
15/02/2022,1151,
15/02/2022,2252,
15/02/2022,1055,
15/02/2022,2291,
15/02/2022,1157,
15/02/2022,2251,
15/02/2022,2283,
15/02/2022,2248,
15/02/2022,2294,
15/02/2022,2269,
15/02/2022,1047,
15/02/2022,2245,
15/02/2022,2201,
15/02/2022,2306,
15/02/2022,1053,
15/02/2022,2290,
15/02/2022,2243,
15/02/2022,1051,
15/02/2022,2196,
15/02/2022,2221,
15/02/2022,1059,
15/02/2022,1156,
15/02/2022,2234,
15/02/2022,1060,
15/02/2022,2288,
15/02/2022,1058,
15/02/2022,1104,
15/02/2022,1057,
15/02/2022,2231,
15/02/2022,1148,
15/02/2022,2268,
15/02/2022,2232,
15/02/2022,1071,
15/02/2022,1076,
15/02/2022,2192,
15/02/2022,2233,
15/02/2022,2189,
15/02/2022,2279,
15/02/2022,1173,
15/02/2022,1114,
15/02/2022,1100,
15/02/2022,2305,
15/02/2022,2230,
15/02/2022,2254,
15/02/2022,1075,
15/02/2022,1049,
15/02/2022,1050,
15/02/2022,2255,
15/02/2022,2249,
15/02/2022,1107,
15/02/2022,2244,
15/02/2022,1048,
15/02/2022,2210,
15/02/2022,1115,
15/02/2022,1117,
15/02/2022,2307,
15/02/2022,2219,
15/02/2022,1103,
15/02/2022,1171,
15/02/2022,2304,
15/02/2022,1106,
15/02/2022,2188,
15/02/2022,1170,
15/02/2022,1172,
15/02/2022,2235,
15/02/2022,1110,
15/02/2022,2241,
15/02/2022,2253,
15/02/2022,2282,
15/02/2022,1118,
15/02/2022,2217,
15/02/2022,2274,
15/02/2022,2246,
15/02/2022,2211,
15/02/2022,1102,
15/02/2022,2193,
15/02/2022,2281,
15/02/2022,1101,
15/02/2022,1146,
15/02/2022,1167,
15/02/2022,1132,
15/02/2022,2278,
15/02/2022,1116,
15/02/2022,2213,
15/02/2022,1105,
15/02/2022,2247,
15/02/2022,1147,
15/02/2022,1166,
15/02/2022,1141,
15/02/2022,2236,
15/02/2022,1154,
15/02/2022,2209,
15/02/2022,1098,
15/02/2022,2263,
15/02/2022,1046,
15/02/2022,2238,
15/02/2022,2275,
15/02/2022,2229,
15/02/2022,1137,
15/02/2022,2266,
15/02/2022,2237,
15/02/2022,2277,
15/02/2022,2271,
15/02/2022,2264,
15/02/2022,2225,
15/02/2022,2240,
15/02/2022,2280,
15/02/2022,2267,
15/02/2022,2301,
15/02/2022,1134,
15/02/2022,2261,
15/02/2022,2216,
15/02/2022,1168,
15/02/2022,2242,
15/02/2022,2287,
15/02/2022,2199,
15/02/2022,1111,
15/02/2022,2214,
15/02/2022,2276,
15/02/2022,2208,
15/02/2022,1143,
15/02/2022,1073,
15/02/2022,2289,
15/02/2022,1142,
15/02/2022,2218,
15/02/2022,1085,
15/02/2022,1099,
15/02/2022,2206,
15/02/2022,2303,
15/02/2022,2224,
15/02/2022,1109,
15/02/2022,1089,
15/02/2022,1140,
15/02/2022,2202,
15/02/2022,1079,
15/02/2022,1136,
15/02/2022,2302,
15/02/2022,1072,
15/02/2022,2227,
15/02/2022,1084,
15/02/2022,1163,
15/02/2022,1069,
15/02/2022,2207,
15/02/2022,2228,
15/02/2022,1077,
15/02/2022,1139,
15/02/2022,2262,
15/02/2022,1138,
15/02/2022,1067,
15/02/2022,1133,
15/02/2022,2223,
15/02/2022,2239,
15/02/2022,2222,
15/02/2022,2226,
15/02/2022,2220,
15/02/2022,1081,
15/02/2022,1078,
15/02/2022,1108,
15/02/2022,1112,
15/02/2022,2200,
15/02/2022,1062,
15/02/2022,1086,
15/02/2022,1162,
15/02/2022,1088,
15/02/2022,1065,
15/02/2022,1113,
15/02/2022,1063,
15/02/2022,1092,
15/02/2022,1080,
15/02/2022,1070,
15/02/2022,2197,
15/02/2022,1093,
15/02/2022,1064,
15/02/2022,1155,
15/02/2022,2198,
15/02/2022,2195,
15/02/2022,1164,
15/02/2022,1097,
15/02/2022,1153,
15/02/2022,1095,
15/02/2022,1061,
15/02/2022,2204,
15/02/2022,2215,
15/02/2022,2265,
15/02/2022,1074,
15/02/2022,1135,
15/02/2022,1165,
15/02/2022,1087,
15/02/2022,1068,
15/02/2022,2205,
15/02/2022,2257,
15/02/2022,1091,
15/02/2022,2212,
15/02/2022,1090,
15/02/2022,2256,
15/02/2022,1083,
15/02/2022,1066,
15/02/2022,1096,
15/02/2022,1169,
15/02/2022,2203,
15/02/2022,1129,
15/02/2022,1125,
15/02/2022,1126,
15/02/2022,2259,
15/02/2022,1130,
15/02/2022,2258,
15/02/2022,1131,
15/02/2022,1128,
15/02/2022,1127,
15/02/2022,1223,
15/02/2022,1222,
15/02/2022,1225,
15/02/2022,1219,
15/02/2022,2349,
15/02/2022,1220,
15/02/2022,1224,
15/02/2022,2350,
15/02/2022,1221,
15/02/2022,1218,
15/02/2022,2337,
15/02/2022,1204,
15/02/2022,1202,
15/02/2022,1214,
15/02/2022,2338,
15/02/2022,1201,
15/02/2022,1203,
15/02/2022,2339,
15/02/2022,1215,
15/02/2022,2341,
15/02/2022,1199,
15/02/2022,1198,
15/02/2022,2347,
15/02/2022,2335,
15/02/2022,1205,
15/02/2022,1210,
15/02/2022,1213,
15/02/2022,2333,
15/02/2022,2332,
15/02/2022,2344,
15/02/2022,1211,
15/02/2022,2336,
15/02/2022,2334,
15/02/2022,2342,
15/02/2022,1200,
15/02/2022,1208,
15/02/2022,2345,
15/02/2022,1212,
15/02/2022,2340,
15/02/2022,1206,
15/02/2022,1209,
15/02/2022,2343,
15/02/2022,2346,
15/02/2022,1207,
15/02/2022,2331,
15/02/2022,1216,
15/02/2022,2348,
15/02/2022,1217,
15/02/2022,2351,
15/02/2022,1226,
15/02/2022,1227,
15/02/2022,2366,
15/02/2022,1244,
15/02/2022,2367,
15/02/2022,1229,
15/02/2022,2352,
15/02/2022,2368,
15/02/2022,2365,
15/02/2022,1243,
15/02/2022,1242,
15/02/2022,1228,
15/02/2022,2362,
15/02/2022,1239,
15/02/2022,1250,
15/02/2022,1255,
15/02/2022,2375,
15/02/2022,1254,
15/02/2022,1256,
15/02/2022,2353,
15/02/2022,1249,
15/02/2022,2363,
15/02/2022,1247,
15/02/2022,2373,
15/02/2022,1248,
15/02/2022,1246,
15/02/2022,2370,
15/02/2022,2364,
15/02/2022,2369,
15/02/2022,2359,
15/02/2022,2372,
15/02/2022,1245,
15/02/2022,1234,
15/02/2022,2357,
15/02/2022,2361,
15/02/2022,2371,
15/02/2022,1230,
15/02/2022,2356,
15/02/2022,1240,
15/02/2022,1233,
15/02/2022,1235,
15/02/2022,1232,
15/02/2022,2354,
15/02/2022,2355,
15/02/2022,2360,
15/02/2022,2376,
15/02/2022,1252,
15/02/2022,1238,
15/02/2022,1241,
15/02/2022,2374,
15/02/2022,1251,
15/02/2022,1237,
15/02/2022,2358,
15/02/2022,1253,
15/02/2022,1231,
15/02/2022,1236,
15/02/2022,2326,
15/02/2022,1195,
15/02/2022,1183,
15/02/2022,2324,
15/02/2022,2322,
15/02/2022,1186,
15/02/2022,2311,
15/02/2022,1182,
15/02/2022,2315,
15/02/2022,1184,
15/02/2022,2314,
15/02/2022,1194,
15/02/2022,2327,
15/02/2022,2321,
15/02/2022,2313,
15/02/2022,1188,
15/02/2022,1185,
15/02/2022,2323,
15/02/2022,1197,
15/02/2022,1187,
15/02/2022,2330,
15/02/2022,2329,
15/02/2022,2325,
15/02/2022,2312,
15/02/2022,2316,
15/02/2022,2328,
15/02/2022,1189,
15/02/2022,1196,
15/02/2022,1179,
15/02/2022,1180,
15/02/2022,1190,
15/02/2022,2319,
15/02/2022,1192,
15/02/2022,2320,
15/02/2022,2318,
15/02/2022,1176,
15/02/2022,1175,
15/02/2022,1181,
15/02/2022,2317,
15/02/2022,2309,
15/02/2022,2310,
15/02/2022,1177,
15/02/2022,1191,
15/02/2022,1193,
15/02/2022,1178,
15/02/2022,1303,
15/02/2022,1287,
15/02/2022,1302,
15/02/2022,2413,
15/02/2022,1301,
15/02/2022,2399,
15/02/2022,1297,
15/02/2022,2398,
15/02/2022,1322,
15/02/2022,2434,
15/02/2022,1293,
15/02/2022,2397,
15/02/2022,1286,
15/02/2022,2432,
15/02/2022,1323,
15/02/2022,2396,
15/02/2022,2431,
15/02/2022,2409,
15/02/2022,2407,
15/02/2022,1292,
15/02/2022,2433,
15/02/2022,1320,
15/02/2022,2395,
15/02/2022,2430,
15/02/2022,1284,
15/02/2022,2427,
15/02/2022,1285,
15/02/2022,2426,
15/02/2022,1296,
15/02/2022,1295,
15/02/2022,1289,
15/02/2022,1321,
15/02/2022,2402,
15/02/2022,2406,
15/02/2022,2421,
15/02/2022,2410,
15/02/2022,1290,
15/02/2022,2404,
15/02/2022,1311,
15/02/2022,1319,
15/02/2022,2424,
15/02/2022,1294,
15/02/2022,2418,
15/02/2022,2425,
15/02/2022,1324,
15/02/2022,1288,
15/02/2022,2408,
15/02/2022,2420,
15/02/2022,1291,
15/02/2022,2401,
15/02/2022,1310,
15/02/2022,2422,
15/02/2022,2416,
15/02/2022,1307,
15/02/2022,1317,
15/02/2022,1305,
15/02/2022,2417,
15/02/2022,2400,
15/02/2022,1309,
15/02/2022,1308,
15/02/2022,2414,
15/02/2022,1318,
15/02/2022,1316,
15/02/2022,2428,
15/02/2022,2405,
15/02/2022,1315,
15/02/2022,2423,
15/02/2022,2419,
15/02/2022,1314,
15/02/2022,1312,
15/02/2022,2403,
15/02/2022,1306,
15/02/2022,1313,
15/02/2022,1298,
15/02/2022,1300,
15/02/2022,2415,
15/02/2022,1299,
15/02/2022,2412,
15/02/2022,2429,
15/02/2022,2411,
15/02/2022,1304,
15/02/2022,1331,
15/02/2022,1336,
15/02/2022,1335,
15/02/2022,1334,
15/02/2022,2435,
15/02/2022,1333,
15/02/2022,1332,
15/02/2022,1329,
15/02/2022,1326,
15/02/2022,1330,
15/02/2022,1325,
15/02/2022,1328,
15/02/2022,1327,
15/02/2022,2436,
15/02/2022,1338,
15/02/2022,1337,
15/02/2022,2437,
15/02/2022,2438,
15/02/2022,2439,
15/02/2022,1339,
15/02/2022,2449,
15/02/2022,2441,
15/02/2022,2445,
15/02/2022,1349,
15/02/2022,2383,
15/02/2022,2450,
15/02/2022,2446,
15/02/2022,1263,
15/02/2022,1341,
15/02/2022,1274,
15/02/2022,2443,
15/02/2022,2382,
15/02/2022,1345,
15/02/2022,2388,
15/02/2022,2442,
15/02/2022,1272,
15/02/2022,1273,
15/02/2022,1346,
15/02/2022,1367,
15/02/2022,1340,
15/02/2022,2387,
15/02/2022,1270,
15/02/2022,1268,
15/02/2022,1271,
15/02/2022,2482,
15/02/2022,2444,
15/02/2022,1348,
15/02/2022,1266,
15/02/2022,1347,
15/02/2022,1280,
15/02/2022,1265,
15/02/2022,1342,
15/02/2022,2391,
15/02/2022,1282,
15/02/2022,1283,
15/02/2022,2461,
15/02/2022,2392,
15/02/2022,2481,
15/02/2022,1281,
15/02/2022,2474,
15/02/2022,1259,
15/02/2022,1350,
15/02/2022,1260,
15/02/2022,1381,
15/02/2022,2394,
15/02/2022,1279,
15/02/2022,1258,
15/02/2022,2460,
15/02/2022,1362,
15/02/2022,1363,
15/02/2022,2380,
15/02/2022,2386,
15/02/2022,1264,
15/02/2022,2393,
15/02/2022,1261,
15/02/2022,1262,
15/02/2022,1364,
15/02/2022,2384,
15/02/2022,2473,
15/02/2022,2381,
15/02/2022,2478,
15/02/2022,2448,
15/02/2022,1378,
15/02/2022,1351,
15/02/2022,2458,
15/02/2022,1278,
15/02/2022,2479,
15/02/2022,2457,
15/02/2022,2378,
15/02/2022,2447,
15/02/2022,1277,
15/02/2022,2459,
15/02/2022,1374,
15/02/2022,1361,
15/02/2022,1369,
15/02/2022,1267,
15/02/2022,2475,
15/02/2022,2453,
15/02/2022,2470,
15/02/2022,2379,
15/02/2022,1276,
15/02/2022,2468,
15/02/2022,1360,
15/02/2022,2390,
15/02/2022,1372,
15/02/2022,1371,
15/02/2022,2480,
15/02/2022,1373,
15/02/2022,1275,
15/02/2022,2455,
15/02/2022,1366,
15/02/2022,1343,
15/02/2022,2463,
15/02/2022,2440,
15/02/2022,2477,
15/02/2022,1344,
15/02/2022,1357,
15/02/2022,2389,
