PROVINCE,AMPHOE,TEXTURE,SOIL,Bhumibol 2012-09-07,Sirikit 2012-09-07,KhwaeNoi 2012-09-07,PaSak  2012-09-07,rainfall,FLOOD
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,0,0
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,น้ำ,0,6710,5610,436,261,0,0
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,23.5,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,23.5,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6710,5610,436,261,23.5,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนปนทรายแป้ง,11,6710,5610,436,261,23.5,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6710,5610,436,261,23.5,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6710,5610,436,261,23.5,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,23.5,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,น้ำ,0,6710,5610,436,261,23.5,1
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนปนทรายแป้ง,11,6710,5610,436,261,178,3
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,178,3
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,178,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,6710,5610,436,261,105.5,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,6710,5610,436,261,105.5,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนปนทรายแป้ง,11,6710,5610,436,261,105.5,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,105.5,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,น้ำ,0,6710,5610,436,261,105.5,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,147,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,147,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียว,3,6710,5610,436,261,147,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนปนทรายแป้ง,11,6710,5610,436,261,147,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,147,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,น้ำ,0,6710,5610,436,261,147,3
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียว,3,6710,5610,436,261,110,3
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียว,3,6710,5610,436,261,110,3
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,110,3
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,110,3
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินเหนียว,3,6710,5610,436,261,6,0
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินเหนียว,3,6710,5610,436,261,6,0
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนปนทรายแป้ง,11,6710,5610,436,261,6,0
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,6,0
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนเหนียวปนทรายแป้ง,10,6710,5610,436,261,6,0
Phra Nakhon Si Ayudhya,Amphoe Maharat,น้ำ,0,6710,5610,436,261,6,0
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,0,0
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,6710,5610,436,261,0,0
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,6710,5610,436,261,0,0
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,6710,5610,436,261,0,0
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,0,0
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,6710,5610,436,261,141,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินร่วนปนทรายแป้ง,11,6710,5610,436,261,141,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,6710,5610,436,261,141,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,6710,5610,436,261,141,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,141,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,6710,5610,436,261,141,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,141,3
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียว,3,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียว,3,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินร่วนปนทรายแป้ง,11,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Sena,น้ำ,0,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินร่วนปนทรายแป้ง,11,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,6710,5610,436,261,83,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียวปนทรายแป้ง,8,6710,5610,436,261,83,2
