DATE,PROVINCE,DISTRICT,TEXTURE,SOIL,BHUMIBOL,SIRIKIT,KHWAENOI,PASAK,RAINFALL,FLOOD
21/9/2012,Ang Thong,Muang Ang Thong,น้ำ,0,7682.00,6163.00,595.00,452.00,0.00,0
21/9/2012,Ang Thong,Muang Ang Thong,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,0.00,0
21/9/2012,Ang Thong,Muang Ang Thong,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,0.00,0
21/9/2012,Ang Thong,Muang Ang Thong,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,0.00,0
21/9/2012,Ang Thong,Muang Ang Thong,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,0.00,0
21/9/2012,Ang Thong,Pa Mok,ดินเหนียว,1,7682.00,6163.00,595.00,452.00,3.50,0
21/9/2012,Ang Thong,Pa Mok,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,3.50,0
21/9/2012,Ang Thong,Pa Mok,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,3.50,0
21/9/2012,Ang Thong,Pa Mok,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,3.50,0
21/9/2012,Ang Thong,Pa Mok,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,3.50,0
21/9/2012,Ang Thong,Pho Thong,ดินเหนียวปนทราย,2,7682.00,6163.00,595.00,452.00,7.00,0
21/9/2012,Ang Thong,Pho Thong,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,7.00,0
21/9/2012,Ang Thong,Pho Thong,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,7.00,0
21/9/2012,Ang Thong,Pho Thong,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,7.00,0
21/9/2012,Ang Thong,Pho Thong,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,7.00,0
