DATE,PROVINCE,DISTRICT,TEXTURE,SOIL,Bhumibol,Sirikit,Khwaenoi,Pasak,RAINFALL,Flood
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,7646.00,6128.00,590.00,442.00,12.00,1.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,7646.00,6128.00,590.00,442.00,12.00,1.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,7646.00,6128.00,590.00,442.00,12.00,1.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,51.00,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,51.00,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนปนทรายแป้ง,11,7646.00,6128.00,590.00,442.00,51.00,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียวปนทรายแป้ง,8,7646.00,6128.00,590.00,442.00,51.00,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,น้ำ,0,7646.00,6128.00,590.00,442.00,51.00,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,0.00,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,0.00,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนปนทรายแป้ง,11,7646.00,6128.00,590.00,442.00,0.00,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,0.00,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,0.00,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,น้ำ,0,7646.00,6128.00,590.00,442.00,0.00,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,0.50,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,7646.00,6128.00,590.00,442.00,0.50,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,0.50,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนปนทรายแป้ง,11,7646.00,6128.00,590.00,442.00,0.50,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,0.50,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,0.50,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,7646.00,6128.00,590.00,442.00,0.50,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,น้ำ,0,7646.00,6128.00,590.00,442.00,0.50,0.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนปนทรายแป้ง,11,7646.00,6128.00,590.00,442.00,102.00,3.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,102.00,3.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,102.00,3.00
